Rank,,Float Value,Seed,Stickers,,,,,,
#152,"MAG-7
Metallic DDPAT",0.00000018950701 FN,568,,,,,,,
#153,"SCAR-20
Outbreak",0.00000019293743 FN,680,,,,,,,
#154,"PP-Bizon
Bamboo Print",0.00000019307436 FN,552,,,,,,,
#155,"SG 553
Anodized Navy",0.00000019384100 FN,756,,,,,,,
#156,"Nova
Exo",0.00000019388274 FN,142,,,,,,,
#157,"MAC-10
Candy Apple",0.00000019542129 FN,66,,,,,,,
#158,"MAC-10
Sienna Damask",0.00000019628183 FN,405,,,,,,,
#159,"Glock-18
Winterized",0.00000019792468 FN,266,,,,,,,
#160,"SG 553
Triarch",0.00000019886997 FN,224,,,,,,,
#161,"SG 553
Atlas",0.00000019950103 FN,968,,,,,,,
#162,"Dual Berettas
Shred",0.00000020093984 FN,130,,,,,,,
#163,"Negev
Army Sheen",0.00000020421251 FN,576,,,,,,,
#164,"R8 Revolver
Desert Brush",0.00000020496547 FN,253,,,,,,,
#165,"SCAR-20
Poultrygeist",0.00000020554926 FN,840,,,,,,,
#166,"MAG-7
Metallic DDPAT",0.00000020693689 FN,295,,,,,,,
#167,"UMP-45
Full Stop",0.00000020737109 FN,695,,,,,,,
#168,"StatTrak™ MAG-7
Heaven Guard",0.00000020792523 FN,566,,,,,,,
#169,"SG 553
Army Sheen",0.00000021139022 FN,22,,,,,,,
#170,"Sawed-Off
Rust Coat",0.00000021153690 FN,673,,,,,,,
#171,"FAMAS
Teardown",0.00000021241699 FN,631,,,,,,,
#172,"SG 553
Heavy Metal",0.00000021454878 FN,946,,,,,,,
#173,"P2000
Oceanic",0.00000021908620 FN,235,,,,,,,
#174,"P250
Metallic DDPAT",0.00000022131316 FN,833,,,,,,,
#175,"SSG 08
Acid Fade",0.00000022175385 FN,215,,,,,,,
#176,"Nova
Mandrel",0.00000022255117 FN,109,,,,,,,
#177,"StatTrak™ Nova
Windblown",0.00000022406689 FN,639,,,,,,,
#178,"Tec-9
Orange Murano",0.00000022843480 FN,976,,,,,,,
#179,"MAG-7
Heaven Guard",0.00000022890420 FN,137,,,,,,,
#180,"MAC-10
Silver",0.00000023015326 FN,970,,,,,,,
#181,"G3SG1
Digital Mesh",0.00000023242458 FN,710,,,,,,,
#182,"Dual Berettas
Flora Carnivora",0.00000023254194 FN,574,,,,,,,
#183,"StatTrak™ SG 553
Heavy Metal",0.00000023397617 FN,77,,,,,,,
#184,"SSG 08
Acid Fade",0.00000023457399 FN,625,,,,,,,
#185,"SG 553
Heavy Metal",0.00000023511704 FN,753,,,,,,,
#186,"Galil AR
VariCamo",0.00000023608190 FN,233,,,,,,,
#187,"StatTrak™ P2000
Urban Hazard",0.00000023661647 FN,279,,,,,,,
#188,"PP-Bizon
Jungle Slipstream",0.00000023777363 FN,267,,,,,,,
#189,"G3SG1
Murky",0.00000024126143 FN,875,,,,,,,
#190,"MAG-7
Metallic DDPAT",0.00000024527796 FN,438,,,,,,,
#191,"G3SG1
High Seas",0.00000024663331 FN,40,,,,,,,
#192,"SG 553
Damascus Steel",0.00000024707987 FN,677,,,,,,,
#193,"MAG-7
Petroglyph",0.00000024902653 FN,458,,,,,,,
#194,"StatTrak™ SCAR-20
Green Marine",0.00000024971368 FN,318,,,,,,,
#195,"Nova
Mandrel",0.00000025092623 FN,595,,,,,,,
#196,"Souvenir MAG-7
Navy Sheen",0.00000025437981 FN,289,,,,,,,
#197,"MP7
Cirrus",0.00000025469112 FN,712,,,,,,,
#198,"MAG-7
Heat",0.00000025532674 FN,697,,,,,,,
#199,"Negev
Army Sheen",0.00000025577660 FN,437,,,,,,,
#200,"P90
Ash Wood",0.00000025637306 FN,722,,,,,,,
